id,Viti,Kategoria_Ekonomike,Drejtoria,Shuma,tremujori
2,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,1005760,1
3,2016,13 - Mallra dhe Shërbime,Infrastruktura Publike,13971,1
4,2016,13 - Mallra dhe Shërbime,Zyrja për Komunitete dhe Kthim,15094,1
5,2016,13 - Mallra dhe Shërbime,Kultura,3921,1
6,2016,13 - Mallra dhe Shërbime,Shërbimet e Shëndetësisë Primare,170451,1
7,2016,13 - Mallra dhe Shërbime,Shërbimet Sociale,6219,1
8,2016,13 - Mallra dhe Shërbime,Administrata e Arsimit,432404,1
9,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),156810,1
10,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,204875,1
11,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,8848,1
12,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,3639,1
13,2016,132 - Shpenzimet Komunale,Kultura,8972,1
14,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,85559,1
15,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,4482,1
16,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,185722,1
17,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,37771,1
18,2016,20 - Subvencione dhe Transfere,Kultura,13000,1
19,2016,20 - Subvencione dhe Transfere,Sport,4903,1
20,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,56760,1
21,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,24106,1
22,2016,30 - Shpenzimet Kapitale,Administrata dhe Personeli,9900,1
23,2016,30 - Shpenzimet Kapitale,Buxhet dhe Financa,1100,1
24,2016,30 - Shpenzimet Kapitale,Infrastruktura Rrugore,288146,1
25,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,431375,1
26,2016,30 - Shpenzimet Kapitale,Kultura,50000,1
27,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,262728,1
28,2016,30 - Shpenzimet Kapitale,Arsimi Fillor,40968,1
29,2016,30 - Shpenzimet Kapitale,Arsimi i Mesëm,39382,1
30,2016,11 - Paga dhe Mëditje,Zyra e Kryetarit,61,1
31,2016,11 - Paga dhe Mëditje,Administrata dhe Personeli,130,1
32,2016,11 - Paga dhe Mëditje,Inspekcioni,76,1
33,2016,11 - Paga dhe Mëditje,Prokurimi,13,1
34,2016,11 - Paga dhe Mëditje,Zyra e Kuvendit Komunal,30,1
35,2016,11 - Paga dhe Mëditje,Buxhet dhe Financa,86,1
36,2016,11 - Paga dhe Mëditje,Infrastruktura Rrugore,36,1
37,2016,11 - Paga dhe Mëditje,Infrastruktura Publike,40,1
38,2016,11 - Paga dhe Mëditje,Zjarrfiksat,172,1
39,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,5,1
40,2016,11 - Paga dhe Mëditje,Bujqësia ,22,1
41,2016,11 - Paga dhe Mëditje,Zhvillimi Ekonomik,15,1
42,2016,11 - Paga dhe Mëditje,Shërbimet Kadastrale,35,1
43,2016,11 - Paga dhe Mëditje,Planifikimi Urban dhe Inspekcioni,65,1
44,2016,11 - Paga dhe Mëditje,Kultura ,96,1
45,2016,11 - Paga dhe Mëditje,Sport,3,1
46,2016,11 - Paga dhe Mëditje,Administrata e Shëndetësisë,14,1
47,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,1,1
48,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,55,1
49,2016,11 - Paga dhe Mëditje,Administra e Arsimit,27,1
50,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),315,1
51,2016,11 - Paga dhe Mëditje,Arsimi Fillor,2,1
52,2016,11 - Paga dhe Mëditje,Arsimi i Mesëm,1,1
53,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,759781,2
54,2016,13 - Mallra dhe Shërbime,Infrastruktura Publike,11420,2
55,2016,13 - Mallra dhe Shërbime,Zyrja për Komunitete dhe Kthim,27885,2
56,2016,13 - Mallra dhe Shërbime,Kultura,3532,2
57,2016,13 - Mallra dhe Shërbime,Shërbimet e Shëndetësisë Primare,269226,2
58,2016,13 - Mallra dhe Shërbime,Shërbimet Sociale,82978,2
59,2016,13 - Mallra dhe Shërbime,Administrata e Arsimit,437134,2
60,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),419242,2
61,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,212229,2
62,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,1558,2
63,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,2678,2
64,2016,132 - Shpenzimet Komunale,Kultura,7633,2
65,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,90287,2
66,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,4357,2
67,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,173901,2
68,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,89542,2
69,2016,20 - Subvencione dhe Transfere,Bujqësia ,44079,2
70,2016,20 - Subvencione dhe Transfere,Kultura,48450,2
71,2016,20 - Subvencione dhe Transfere,Sport,93922,2
72,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,152610,2
73,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,31719,2
74,2016,30 - Shpenzimet Kapitale,Administrata dhe Personeli,8580,2
75,2016,30 - Shpenzimet Kapitale,Infrastruktura Rrugore,2587820,2
76,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,586779,2
77,2016,30 - Shpenzimet Kapitale,Zhvillimi Ekonomik,20000,2
78,2016,30 - Shpenzimet Kapitale,Kultura,19505,2
79,2016,30 - Shpenzimet Kapitale,Sport,3643,2
80,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,185936,2
81,2016,30 - Shpenzimet Kapitale,Arsimi Fillor,40968,2
82,2016,30 - Shpenzimet Kapitale,Arsimi i Mesëm,224864,2
83,2016,11 - Paga dhe Mëditje,Zyra e Kryetarit,68001,2
84,2016,11 - Paga dhe Mëditje,Administrata dhe Personeli,132114,2
85,2016,11 - Paga dhe Mëditje,Inspekcioni,73531,2
86,2016,11 - Paga dhe Mëditje,Prokurimi,10983,2
87,2016,11 - Paga dhe Mëditje,Zyra e Kuvendit Komunal,43869,2
88,2016,11 - Paga dhe Mëditje,Buxhet dhe Financa,84495,2
89,2016,11 - Paga dhe Mëditje,Infrastruktura Rrugore,36334,2
90,2016,11 - Paga dhe Mëditje,Infrastruktura Publike,39559,2
91,2016,11 - Paga dhe Mëditje,Zjarrfiksat,173407,2
92,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,6274,2
93,2016,11 - Paga dhe Mëditje,Bujqësia ,22211,2
94,2016,11 - Paga dhe Mëditje,Zhvillimi Ekonomik,15363,2
95,2016,11 - Paga dhe Mëditje,Shërbimet Kadastrale,34867,2
96,2016,11 - Paga dhe Mëditje,Planifikimi Urban dhe Inspekcioni,81613,2
97,2016,11 - Paga dhe Mëditje,Kultura ,97644,2
98,2016,11 - Paga dhe Mëditje,Sport,4087,2
99,2016,11 - Paga dhe Mëditje,Administrata e Shëndetësisë,13846,2
100,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,1510760,2
101,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,55445,2
102,2016,11 - Paga dhe Mëditje,Administra e Arsimit,37552,2
103,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),329253,2
104,2016,11 - Paga dhe Mëditje,Arsimi Fillor,2943430,2
105,2016,11 - Paga dhe Mëditje,Arsimi i Mesëm,1211700,2
106,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,1000740,3
107,2016,13 - Mallra dhe Shërbime,Infrastruktura Publike,21720,3
108,2016,13 - Mallra dhe Shërbime,Zyrja për Komunitete dhe Kthim,54563,3
109,2016,13 - Mallra dhe Shërbime,Kultura,13169,3
110,2016,13 - Mallra dhe Shërbime,Shërbimet e Shëndetësisë Primare,257895,3
111,2016,13 - Mallra dhe Shërbime,Shërbimet Sociale,12750,3
112,2016,13 - Mallra dhe Shërbime,Administrata e Arsimit,446042,3
113,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),247319,3
114,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,139005,3
115,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,2281,3
116,2016,132 - Shpenzimet Komunale,Kultura,4147,3
117,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,40299,3
118,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,2147,3
119,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,102130,3
120,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,56368,3
121,2016,20 - Subvencione dhe Transfere,Bujqësia ,163872,3
122,2016,20 - Subvencione dhe Transfere,Kultura,85500,3
123,2016,20 - Subvencione dhe Transfere,Sport,28030,3
124,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,43910,3
125,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,83476,3
126,2016,30 - Shpenzimet Kapitale,Administrata dhe Personeli,42717,3
127,2016,30 - Shpenzimet Kapitale,Buxhet dhe Financa,373844,3
128,2016,30 - Shpenzimet Kapitale,Infrastruktura Rrugore,3352520,3
129,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,1666280,3
130,2016,30 - Shpenzimet Kapitale,Planifikimi Urban dhe Inspekcioni,57674,3
131,2016,30 - Shpenzimet Kapitale,Kultura,119576,3
132,2016,30 - Shpenzimet Kapitale,Sport,90026,3
133,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,309014,3
134,2016,30 - Shpenzimet Kapitale,Arsimi Parafillor (Qerdhet),117516,3
135,2016,30 - Shpenzimet Kapitale,Arsimi i Mesëm,281348,3
136,2016,11 - Paga dhe Mëditje,Zyra e Kryetarit,59483,3
137,2016,11 - Paga dhe Mëditje,Administrata dhe Personeli,133344,3
138,2016,11 - Paga dhe Mëditje,Inspekcioni,67913,3
139,2016,11 - Paga dhe Mëditje,Prokurimi,10467,3
140,2016,11 - Paga dhe Mëditje,Zyra e Kuvendit Komunal,26688,3
141,2016,11 - Paga dhe Mëditje,Buxhet dhe Financa,85101,3
142,2016,11 - Paga dhe Mëditje,Infrastruktura Rrugore,36356,3
143,2016,11 - Paga dhe Mëditje,Infrastruktura Publike,38640,3
144,2016,11 - Paga dhe Mëditje,Zjarrfiksat,174054,3
145,2016,11 - Paga dhe Mëditje,Zyrja për Komunitete dhe Kthim,6181,3
146,2016,11 - Paga dhe Mëditje,Bujqësia ,23775,3
147,2016,11 - Paga dhe Mëditje,Zhvillimi Ekonomik,15363,3
148,2016,11 - Paga dhe Mëditje,Shërbimet Kadastrale,41258,3
149,2016,11 - Paga dhe Mëditje,Planifikimi Urban dhe Inspekcioni,66850,3
150,2016,11 - Paga dhe Mëditje,Kultura ,97599,3
151,2016,11 - Paga dhe Mëditje,Sport,4246,3
152,2016,11 - Paga dhe Mëditje,Administrata e Shëndetësisë,11405,3
153,2016,11 - Paga dhe Mëditje,Shërbimet e Shëndetësisë Primare,1479140,3
154,2016,11 - Paga dhe Mëditje,Shërbimet Sociale,55911,3
155,2016,11 - Paga dhe Mëditje,Administra e Arsimit,29723,3
156,2016,11 - Paga dhe Mëditje,Arsimi Parafillor (Qerdhet),328172,3
157,2016,11 - Paga dhe Mëditje,Arsimi Fillor,2934100,3
158,2016,11 - Paga dhe Mëditje,Arsimi i Mesëm,1183830,3
159,2016,13 - Mallra dhe Shërbime,Administrata dhe Personeli,953210,4
160,2016,13 - Mallra dhe Shërbime,Infrastruktura Publike,13621,4
161,2016,13 - Mallra dhe Shërbime,Zyrja për Komunitete dhe Kthim,15098,4
162,2016,13 - Mallra dhe Shërbime,Kultura,40538,4
163,2016,13 - Mallra dhe Shërbime,Shërbimet e Shëndetësisë Primare,111929,4
164,2016,13 - Mallra dhe Shërbime,Shërbimet Sociale,12773,4
165,2016,13 - Mallra dhe Shërbime,Administrata e Arsimit,210628,4
166,2016,13 - Mallra dhe Shërbime,Arsimi Parafillor (Qerdhet),74220,4
167,2016,13 - Mallra dhe Shërbime,Arsimi i Mesëm,260149,4
168,2016,132 - Shpenzimet Komunale,Administrata dhe Personeli,208272,4
169,2016,132 - Shpenzimet Komunale,Infrastruktura Publike,17079,4
170,2016,132 - Shpenzimet Komunale,Zyrja për Komunitete dhe Kthim,12997,4
171,2016,132 - Shpenzimet Komunale,Kultura,9246,4
172,2016,132 - Shpenzimet Komunale,Shërbimet e Shëndetësisë Primare,83849,4
173,2016,132 - Shpenzimet Komunale,Shërbimet Sociale,17012,4
174,2016,132 - Shpenzimet Komunale,Administrata e Arsimit,157847,4
175,2016,20 - Subvencione dhe Transfere,Administrata dhe Personeli,83163,4
176,2016,20 - Subvencione dhe Transfere,Bujqësia ,284587,4
177,2016,20 - Subvencione dhe Transfere,Kultura,95483,4
178,2016,20 - Subvencione dhe Transfere,Sport,55383,4
179,2016,20 - Subvencione dhe Transfere,Shërbimet Sociale,54339,4
180,2016,20 - Subvencione dhe Transfere,Administrata e Arsimit,47682,4
181,2016,30 - Shpenzimet Kapitale,Administrata dhe Personeli,46376,4
182,2016,30 - Shpenzimet Kapitale,Buxhet dhe Financa,108695,4
183,2016,30 - Shpenzimet Kapitale,Infrastruktura Rrugore,4209200,4
184,2016,30 - Shpenzimet Kapitale,Infrastruktura Publike,2414020,4
185,2016,30 - Shpenzimet Kapitale,Bujqësia ,1977,4
186,2016,30 - Shpenzimet Kapitale,Zhvillimi Ekonomik,22154,4
187,2016,30 - Shpenzimet Kapitale,Shërbimet Kadastrale,42936,4
188,2016,30 - Shpenzimet Kapitale,Planifikimi Urban dhe Inspekcioni,140272,4
189,2016,30 - Shpenzimet Kapitale,Kultura,50628,4
190,2016,30 - Shpenzimet Kapitale,Sport,172292,4
191,2016,30 - Shpenzimet Kapitale,Shërbimet e Shëndetësisë Primare,337941,4
192,2016,30 - Shpenzimet Kapitale,Arsimi Parafillor (Qerdhet),325417,4
193,2016,30 - Shpenzimet Kapitale,Arsimi Fillor,181880,4
194,2016,30 - Shpenzimet Kapitale,Arsimi i Mesëm,690884,4
195,2016,11 - Paga dhe Mëditje,Zyra e Kryetarit,60735,4
196,2016,11 - Paga dhe Mëditje,Administrata dhe Personeli,145733,4
