Viti,Përshkrimi, Janar , Shkurt , Mars , Prill , Maj , Qershor ,Korrik , Gusht , Shtator , Tetor , Nëntor , Dhjetor ,tremujori
2018,Taksa për leje ndërtimi,847392,472452,724966,"357,385.26","431,322.79","680,048.71","1,132,395.17","1,095,605.53","277,326.30","639,531.15","485,495.51","733,124.11",1
2018,Leje mjedisore komunale,35282,1985,20719,"56,292.11","10,791.08","25,671.42","50,174.28","54,044.82","19,961.44","25,297.32","22,131.46","8,700.54",1
2018,Tatimi në pronën e paluajtshme,509626,475634,708985,"647,783.77","561,899.57","861,363.43","788,913.82","531,343.42","334,926.22","326,274.76","371,290.52","857,254.74",1
2018,Licenca në biznes,8480,3800,3700,"4,900.00","5,800.00","3,000.00","4,900.00","12,100.00","4,550.00","5,697.00","3,050.00","3,250.00",1
2018,Taksa për shfrytëzimin e sipërfaqes publike,24334,22873,745,"21,533.07","57,703.01","17,733.45","61,899.57","92,368.06","81,808.55","41,231.31","5,558.41","20,636.58",1
2018,Infrastruktura rrugore,59918,103263,152852,"160,525.23","164,420.37","173,340.51","625,737.82","167,033.06","220,722.44","330,875.54","103,814.66","188,659.34",1
2018,Taksa nga kadastri dhe gjeodezia,38916,39743,43422,"61,355.00","52,235.00","40,960.00","65,569.00","41,022.75","100,405.75","81,265.00","57,651.95","74,640.47",1
2018,Taksa për transakcion në pronë,50100,59100,67950,"64,650.00","66,150.00","60,600.00","58,800.00","53,850.00","66,150.00","63,300.00","69,300.00","74,400.00",1
2018,Të hyra nga inspekcioni,4115,4250,8501,"9,580.00","4,269.89","4,256.80","7,002.38","10,484.73","6,868.79","6,020.83","4,442.73","11,501.27",1
2018,Taksa për certifikata dhe dokumente zyrtare,5625,16139,20929,"29,330.00","22,370.00","20,539.00","30,699.95","27,156.75","15,770.00","30,320.00","22,881.00","48,292.00",1
2018,Taksa për automjete motorrike,25480,44190,48330,"57,325.00","53,780.00","59,865.00","63,940.00","55,147.00","41,560.00","60,610.00","36,240.00","79,450.00",1
2018,Taksa për shërbime arsimore,78561,76763,71706,"68,888.86","84,693.50","68,780.72","45,835.00","18,018.00","63,595.50","84,447.86","68,450.86","65,819.86",1
2018,Bibloteka dhe Teatri Dodona,1774,4711,2643,"3,785.00","2,603.00","1,378.00","1,607.00",840,"2,600.00","3,684.00","4,942.00","8,631.00",1
2018,Taksa për shërbime shëndetësore,24317,29539,29295,"31,462.70","31,285.20","22,670.90","29,955.80","26,037.20","29,324.70","42,137.00","33,417.50","35,091.90",1
2018,Gjobat në trafik,75746,69667,97852,"110,234.00","114,627.00","161,945.00","249,739.00","254,349.00","165,730.00","162,947.50",0,0,1
2018,Qiraja në banesa ,535,0,72,297,901.44,25.14,25.14,0,50.28,"2,077.28",267.66,516.03,1
2018,Renta,0,0,0,0,0,0,0.00,0,0,"1,440.00",0,"68,640.00",1
2018,Parkingjet,21236,0,230,"13,531.30","6,765.65","6,765.65","6,765.65","6,765.65",80,"13,531.30","6,765.65","13,531.30",1
2018,Hortikultura,14507,20977,17555,"37,581.00","28,270.00","23,644.00","28,493.00","26,328.00","29,056.00","31,558.00","15,159.00","32,624.00",1
2018,Participime / Donacione,4403,0,65988,0,"4,000.00",0,0,0,0,"3,000.00","1,146.50","32,624.00",1
2018,Shitja e Pasurisë,0,0,0,0,0,0,0,0,0,0,"120,250.00","20,260.00",1
2018,Agjensioni i pyjeve,0,0,0,0,0,"4,794.53",0,0,0,0,"120,250.00","20,260.00",1
2018,Gjobat nga gjykatat,0,0,72386,0,0,"123,052.88",0,0,0,"133,965.00","120,250.00","20,260.00",1
2018,Shpronësime,0,0,0,0,0,"287,430.00","251,822.55",0,0,"133,965.00","1,707,791.63","20,260.00",1
2018,Taksa për Arkivin Komunal,0,0,0,247,0,0,0,0,0,"133,965.00","1,707,791.63",120.2,1
2018,Appk,562,0,0,562.35,0,0,"1,124.70",0,0,"133,965.00","1,707,791.63",120.2,1
2018,Mbeturinat,0,17556,115927,"111,372.45","132,876.53","139,977.92","191,462.57","177,135.69","156,157.78","238,199.42","134,662.16","174,790.14",1
2018,Konfiskim i automjeteve,11878,9479,5173,"4,160.21",0,530,0,0,"156,157.78","238,199.42","134,662.16","174,790.14",1
